quickSort10,bubbleSort10,insertionSort10,selectionSort10,mergeSort10
0,100674,314094,82298,0,
0,55852,261453,102184,261662,
0,91786,35245,0,0,
500000,85626,318586,87570,0,
0,205904,354248,6370,500000,
500000,172696,1,31688,0,
0,26600,317195,83770,0,
0,136344,5671,193512,0,
0,0,312870,0,0,
0,220104,403314,90534,0,
0,48906,171,124548,500000,
500000,440020,27495,357834,0,
0,0,356591,0,0,
0,0,309861,42300,0,
0,198318,4465,139720,500000,
500000,394906,197373,9950,0,
0,128664,169359,499992,0,
0,141504,314112,132312,0,
0,0,256873,0,0,
0,95364,276244,51128,0,
0,37912,259358,186050,500000,
500000,349298,295221,52344,354056,
0,96204,6,85854,427954,
0,79860,10878,170736,196530,
0,12324,19900,57460,0,
294456,50098,210,142700,0,
0,92702,291797,106240,0,
0,21344,14706,448512,0,
500000,38598,29890,0,0,
500000,104068,179043,374232,500000,
500000,164958,360286,74124,0,
0,48692,136,49266,0,
0,0,340091,478004,0,
0,33388,313303,50848,0,
0,47718,3081,75768,0,
0,0,219279,374978,0,
0,48500,168490,46998,371196,
0,146188,293665,132920,500000,
500000,416768,14878,88868,0,
0,36536,182501,23772,0,
23970,221952,28441,49036,0,
0,79212,224785,116746,0,
0,129788,273906,86708,492082,
0,45824,261000,21758,0,
0,44608,367708,90916,0,
0,187256,2701,42320,0,
0,48960,266913,176188,0,
500000,81478,124981,0,0,
0,25428,297857,123254,0,
0,65104,861,0,0,
0,11634,402620,225514,0,
500000,374036,318190,71482,330444,
476310,128772,36,52766,500000,
0,48640,35390,186904,0,
0,0,5632,74796,0,
0,108968,318653,97952,0,
0,42042,191604,50358,0,
0,0,419752,175794,0,
239644,76608,308588,57890,0,
63432,145992,49455,0,0,
0,67632,317257,51408,0,
0,200114,500000,249294,0,
0,96720,378,96848,0,
0,0,41328,50424,0,
0,43680,322002,0,0,
0,73232,73153,141522,0,
0,32592,30975,46848,0,
0,84112,314386,0,0,
0,94128,230207,98932,0,
0,0,140715,0,0,
0,44544,42533,223700,0,
0,93740,306079,48500,0,
0,58032,279294,181340,0,
0,0,118828,96158,0,
500000,211034,2628,0,0,
0,68384,8001,74746,361558,
0,36432,172671,58156,0,
0,41472,321657,49400,0,
0,48860,630,135102,0,
168662,123822,48205,31624,0,
0,38528,321472,46208,0,
500000,15872,318475,43032,0,
0,49068,38226,127560,0,
0,127792,154401,165606,0,
0,67126,276,0,0,
0,83964,249679,238726,0,
500000,35014,368063,66114,0,
0,117312,1326,84866,0,
0,69648,364316,118368,0,
0,0,34157,172176,0,
0,136124,283364,67650,0,
0,102448,238670,0,0,
0,86120,291862,179376,0,
0,132102,10440,137718,350378,
0,0,91550,131706,0,
0,116566,1035,397936,500000,
500000,476238,59685,0,0,
0,124500,423350,38544,0,
0,52668,16471,121506,0,
0,0,365868,84278,394790,
quickSort20,bubbleSort20,insertionSort20,selectionSort20,mergeSort20
0,218544,292503,117596,0,
0,218616,328444,125376,0,
0,0,6441,217140,500000,
500000,200462,11175,0,0,
0,103886,256224,211046,500000,
0,89612,285366,152124,0,
0,219698,303104,162312,500000,
0,47582,195748,198578,414350,
0,174262,273861,157188,385760,
0,193030,350418,187850,29780,
489918,132148,310771,134440,379548,
0,209102,306196,188250,0,
168168,137038,214837,175990,0,
0,162434,331595,48672,0,
0,150168,346297,224478,0,
498432,201988,1275,194688,500000,
500000,282200,152076,48240,0,
0,0,21528,101250,500000,
500000,280878,425928,0,0,
0,411324,496,406802,500000,
500000,429312,2145,0,0,
0,0,34191,44176,0,
0,209964,318650,210130,415836,
0,38214,328080,212722,0,
0,163536,286068,173272,0,
0,165278,318495,162904,266244,
0,135324,333222,193628,0,
10394,193888,321595,236350,0,
0,49764,347226,202972,0,
147778,193186,326607,254328,0,
0,426888,946,0,0,
0,240908,392634,191186,0,
0,335040,259660,267552,0,
0,39054,350945,179588,269720,
0,60660,295796,140082,0,
467512,135788,264425,158292,0,
500000,161220,283318,147768,0,
0,152880,322521,96542,0,
0,134182,264325,187508,0,
0,210984,319045,173936,0,
0,123734,212812,162164,500000,
0,182410,448906,106120,0,
0,217088,287326,228320,0,
0,139194,208560,159650,0,
0,167132,293019,217604,500000,
0,94428,271798,181718,0,
0,134914,264650,180210,0,
0,218020,250568,150060,0,
0,197858,199220,200604,0,
0,48972,321080,163790,0,
35950,220592,346964,177438,0,
0,132608,259254,93256,0,
0,208586,316668,170896,0,
0,90384,287752,48492,0,
0,153342,174559,105336,323564,
500000,106184,333781,96512,0,
32970,89946,299003,170464,0,
371992,210192,335624,0,0,
0,0,10585,5000,500000,
500000,500000,315040,0,0,
0,18070,500000,288552,500000,
500000,107502,528,165834,386288,
0,183412,162802,146594,0,
28258,153660,351959,212926,0,
500000,93542,258416,156312,0,
47486,161682,119479,252112,500000,
500000,240800,91378,41160,280532,
346016,85538,214506,147078,0,
0,0,2775,417698,0,
15328,222714,328433,183920,0,
0,112812,308566,195744,0,
500000,141376,279142,199150,0,
367280,192970,312633,193214,0,
500000,146732,307475,152504,500000,
0,219366,384336,107908,0,
0,180176,300440,135342,500000,
0,190392,361345,240064,0,
500000,123772,285400,125502,0,
0,0,11026,0,0,
0,75050,273560,133914,256132,
0,157026,281692,149976,0,
0,65790,327136,212392,0,
0,197576,320846,152592,0,
27280,154424,322914,113968,0,
0,141248,227037,207670,0,
0,185902,279250,209772,0,
0,222620,329597,128102,313476,
0,180572,118239,207194,0,
500000,95346,321803,207778,0,
500000,191182,323725,187370,0,
0,154200,248916,107310,238126,
0,178514,278978,167416,0,
500000,142270,311192,174776,0,
0,120222,142257,205912,0,
500000,181612,488821,121330,292862,
0,140186,267400,134528,0,
0,7600,335123,91884,210622,
0,38448,307031,118924,0,
0,114408,19306,313960,0,
0,82798,281448,180814,0,
quickSort30,bubbleSort30,insertionSort30,selectionSort30,mergeSort30
56272,255860,282004,241080,0,
0,227322,290655,379564,500000,
0,200274,327627,187732,0,
165038,123714,323187,421302,0,
0,213702,305926,421028,0,
0,389828,12090,108528,0,
500000,273450,348507,209350,0,
0,127254,246933,281212,0,
0,198130,306456,105916,0,
0,167884,432668,76044,387374,
0,180898,276332,207702,0,
0,187706,345004,275794,0,
0,139416,294905,302408,0,
0,221168,300448,263082,0,
0,233258,314036,236296,107986,
1140,191692,352839,266420,335744,
12946,210078,302966,243672,500000,
0,276366,338443,210774,0,
500000,193850,322677,284634,500000,
499800,221852,360358,272310,0,
0,249656,364088,235512,0,
500000,176546,315070,169972,0,
42692,277914,339257,223336,280382,
500000,500000,500000,476900,0,
500000,175272,334287,93862,0,
0,241500,260814,276500,0,
0,184382,500000,475464,500000,
500000,481950,1596,182168,0,
248114,220070,366894,178186,0,
9886,318736,528767,237180,370078,
0,207388,341413,223746,500000,
0,217962,294340,217196,0,
0,282768,396591,229420,0,
0,204828,304210,238506,0,
0,330774,355948,177026,0,
0,202444,270698,172528,397258,
500000,230966,347068,223204,0,
500000,253602,313215,209992,500000,
